,State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Owner, Representative (Primary), County Code, Facility Latitude, Facility Longitude, Fuel Type (Primary), Commercial Operation Date
20,CT,Alfred L Pierce Generating Station,6635,AP-1,2014,Connecticut Municipal Electric Energy Coop,"Rankin, Drew A (605687)",CT009,41.4485,-72.834,Pipeline Natural Gas,08/25/2007
21,CT,Alfred L Pierce Generating Station,6635,AP-1,2015,Connecticut Municipal Electric Energy Coop,"Rankin, Drew A (605687)",CT009,41.4485,-72.834,Pipeline Natural Gas,08/25/2007
22,CT,"Algonquin Power Windsor Locks, LLC",10567,GT1,2009,"Algonquin Power Windsor Locks, LLC","White, James A (1975)",CT003,41.9227,-72.6255,Pipeline Natural Gas,04/14/1990
23,CT,"Algonquin Power Windsor Locks, LLC",10567,GT1,2010,"Algonquin Power Windsor Locks, LLC","White, James A (1975)",CT003,41.9227,-72.6255,Pipeline Natural Gas,04/14/1990
24,CT,"Algonquin Power Windsor Locks, LLC",10567,GT1,2011,"Algonquin Power Windsor Locks, LLC","White, James A (1975)",CT003,41.9227,-72.6255,Pipeline Natural Gas,04/14/1990
25,CT,"Algonquin Power Windsor Locks, LLC",10567,GT1,2012,"Algonquin Power Windsor Locks, LLC","White, James A (1975)",CT003,41.9227,-72.6255,Pipeline Natural Gas,04/14/1990
26,CT,"Algonquin Power Windsor Locks, LLC",10567,GT1,2013,"Algonquin Power Windsor Locks, LLC","White, James A (1975)",CT003,41.9227,-72.6255,Pipeline Natural Gas,04/14/1990
27,CT,"Algonquin Power Windsor Locks, LLC",10567,GT1,2014,"Algonquin Power Windsor Locks, LLC","White, James A (1975)",CT003,41.9227,-72.6255,Pipeline Natural Gas,04/14/1990
28,CT,"Algonquin Power Windsor Locks, LLC",10567,GT1,2015,"Algonquin Power Windsor Locks, LLC","White, James A (1975) (Ended Mar 17, 2015)<br>Blackwood, Scott  (607448) (Started Mar 17, 2015)",CT003,41.9227,-72.6255,Pipeline Natural Gas,04/14/1990
29,CT,Bridgeport Energy,55042,BE1,2009,"Bridgeport Energy, LLC","Klopp, John A (601697) (Started Feb 23, 2009) (Ended Dec 10, 2009)<br>Callaghan, Daniel J (602048) (Started Dec 10, 2009)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
30,CT,Bridgeport Energy,55042,BE1,2010,"Bridgeport Energy, LLC","Callaghan, Daniel J (602048)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
31,CT,Bridgeport Energy,55042,BE1,2011,"Bridgeport Energy, LLC","Callaghan, Daniel J (602048) (Ended May 17, 2011)<br>Speer, Matthew P (605782) (Started May 17, 2011) (Ended Dec 06, 2011)<br>Griffiths, Joe  (606321) (Started Dec 06, 2011)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
32,CT,Bridgeport Energy,55042,BE1,2012,"Bridgeport Energy, LLC","Griffiths, Joe  (606321) (Ended Jan 18, 2012)<br>Klopp, John A (601697) (Started Jan 18, 2012)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
33,CT,Bridgeport Energy,55042,BE1,2013,"Bridgeport Energy, LLC","Klopp, John A (601697)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
34,CT,Bridgeport Energy,55042,BE1,2014,"Bridgeport Energy, LLC","Klopp, John A (601697) (Ended Jun 06, 2014)<br>MacIntyre, Aaron  (607327) (Started Jun 06, 2014)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
35,CT,Bridgeport Energy,55042,BE1,2015,"Bridgeport Energy, LLC","MacIntyre, Aaron  (607327)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
36,CT,Bridgeport Energy,55042,BE2,2009,"Bridgeport Energy, LLC","Klopp, John A (601697) (Started Feb 23, 2009) (Ended Dec 10, 2009)<br>Callaghan, Daniel J (602048) (Started Dec 10, 2009)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
37,CT,Bridgeport Energy,55042,BE2,2010,"Bridgeport Energy, LLC","Callaghan, Daniel J (602048)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
38,CT,Bridgeport Energy,55042,BE2,2011,"Bridgeport Energy, LLC","Callaghan, Daniel J (602048) (Ended May 17, 2011)<br>Speer, Matthew P (605782) (Started May 17, 2011) (Ended Dec 06, 2011)<br>Griffiths, Joe  (606321) (Started Dec 06, 2011)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
39,CT,Bridgeport Energy,55042,BE2,2012,"Bridgeport Energy, LLC","Griffiths, Joe  (606321) (Ended Jan 18, 2012)<br>Klopp, John A (601697) (Started Jan 18, 2012)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
40,CT,Bridgeport Energy,55042,BE2,2013,"Bridgeport Energy, LLC","Klopp, John A (601697)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
41,CT,Bridgeport Energy,55042,BE2,2014,"Bridgeport Energy, LLC","Klopp, John A (601697) (Ended Jun 06, 2014)<br>MacIntyre, Aaron  (607327) (Started Jun 06, 2014)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
42,CT,Bridgeport Energy,55042,BE2,2015,"Bridgeport Energy, LLC","MacIntyre, Aaron  (607327)",CT001,41.1692,-73.1844,Pipeline Natural Gas,07/27/1998
43,CT,Bridgeport Harbor Station,568,BHB2,2009,"PSEG Power Connecticut, LLC","Wintermeyer, Karl  (604377) (Ended Oct 14, 2009)<br>Stagliola, Michael  (604005) (Started Oct 14, 2009)",CT001,41.1706,-73.1843,Residual Oil,08/01/1961
44,CT,Bridgeport Harbor Station,568,BHB2,2010,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005)",CT001,41.1706,-73.1843,Residual Oil,08/01/1961
45,CT,Bridgeport Harbor Station,568,BHB2,2011,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005)",CT001,41.1706,-73.1843,Residual Oil,08/01/1961
46,CT,Bridgeport Harbor Station,568,BHB2,2012,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005)",CT001,41.1706,-73.1843,Residual Oil,08/01/1961
47,CT,Bridgeport Harbor Station,568,BHB2,2013,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005) (Ended Mar 13, 2013)<br>Copus, Thomas  (607042) (Started Mar 13, 2013)",CT001,41.1706,-73.1843,Residual Oil,08/01/1961
48,CT,Bridgeport Harbor Station,568,BHB3,2009,"PSEG Power Connecticut, LLC","Wintermeyer, Karl  (604377) (Ended Oct 14, 2009)<br>Stagliola, Michael  (604005) (Started Oct 14, 2009)",CT001,41.1706,-73.1843,Coal,08/01/1968
49,CT,Bridgeport Harbor Station,568,BHB3,2010,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005)",CT001,41.1706,-73.1843,Coal,08/01/1968
50,CT,Bridgeport Harbor Station,568,BHB3,2011,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005)",CT001,41.1706,-73.1843,Coal,08/01/1968
51,CT,Bridgeport Harbor Station,568,BHB3,2012,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005)",CT001,41.1706,-73.1843,Coal,08/01/1968
52,CT,Bridgeport Harbor Station,568,BHB3,2013,"PSEG Power Connecticut, LLC","Stagliola, Michael  (604005) (Ended Mar 13, 2013)<br>Copus, Thomas  (607042) (Started Mar 13, 2013)",CT001,41.1706,-73.1843,Coal,08/01/1968
53,CT,Bridgeport Harbor Station,568,BHB3,2014,"PSEG Power Connecticut, LLC","Copus, Thomas  (607042)",CT001,41.1706,-73.1843,Coal,08/01/1968
54,CT,Bridgeport Harbor Station,568,BHB3,2015,"PSEG Power Connecticut, LLC","Copus, Thomas  (607042)",CT001,41.1706,-73.1843,Coal,08/01/1968
55,CT,Capitol District Energy Center,50498,GT,2009,Capitol District Energy Center Cogeneration Assoc.,"Bobenic, John  (603678)",CT003,41.7639,-72.6925,Pipeline Natural Gas,10/23/1989
56,CT,Capitol District Energy Center,50498,GT,2010,Capitol District Energy Center Cogeneration Assoc.,"Bobenic, John  (603678)",CT003,41.7639,-72.6925,Pipeline Natural Gas,10/23/1989
57,CT,Capitol District Energy Center,50498,GT,2011,Capitol District Energy Center Cogeneration Assoc.,"Bobenic, John  (603678)",CT003,41.7639,-72.6925,Pipeline Natural Gas,10/23/1989
58,CT,Capitol District Energy Center,50498,GT,2012,Capitol District Energy Center Cogeneration Assoc.,"Bobenic, John  (603678)",CT003,41.7639,-72.6925,Pipeline Natural Gas,10/23/1989
59,CT,Capitol District Energy Center,50498,GT,2013,Capitol District Energy Center Cogeneration Assoc.,"Bobenic, John  (603678)",CT003,41.7639,-72.6925,Pipeline Natural Gas,10/23/1989
60,CT,Capitol District Energy Center,50498,GT,2014,Capitol District Energy Center Cogeneration Assoc.,"Bobenic, John  (603678)",CT003,41.7639,-72.6925,Pipeline Natural Gas,10/23/1989
61,CT,Capitol District Energy Center,50498,GT,2015,Capitol District Energy Center Cogeneration Assoc.,"Bobenic, John  (603678)",CT003,41.7639,-72.6925,Pipeline Natural Gas,10/23/1989
62,CT,Devon,544,11,2009,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
63,CT,Devon,544,11,2010,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
64,CT,Devon,544,11,2011,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
65,CT,Devon,544,11,2012,"Devon Power, LLC","Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
66,CT,Devon,544,11,2013,"Devon Power, LLC","Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
67,CT,Devon,544,11,2014,"Devon Power, LLC","Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
68,CT,Devon,544,11,2015,"Devon Power, LLC","Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
69,CT,Devon,544,12,2009,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
70,CT,Devon,544,12,2010,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
71,CT,Devon,544,12,2011,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
72,CT,Devon,544,12,2012,"Devon Power, LLC","Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
73,CT,Devon,544,12,2013,"Devon Power, LLC","Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
74,CT,Devon,544,12,2014,"Devon Power, LLC","Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
75,CT,Devon,544,12,2015,"Devon Power, LLC","Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
76,CT,Devon,544,13,2009,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
77,CT,Devon,544,13,2010,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
78,CT,Devon,544,13,2011,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
79,CT,Devon,544,13,2012,"Devon Power, LLC","Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
80,CT,Devon,544,13,2013,"Devon Power, LLC","Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
81,CT,Devon,544,13,2014,"Devon Power, LLC","Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
82,CT,Devon,544,13,2015,"Devon Power, LLC","Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
83,CT,Devon,544,14,2009,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
84,CT,Devon,544,14,2010,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
85,CT,Devon,544,14,2011,"Devon Power, LLC","Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
86,CT,Devon,544,14,2012,"Devon Power, LLC","Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
87,CT,Devon,544,14,2013,"Devon Power, LLC","Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
88,CT,Devon,544,14,2014,"Devon Power, LLC","Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
89,CT,Devon,544,14,2015,"Devon Power, LLC","Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Pipeline Natural Gas,07/01/1996
90,CT,Devon,544,15,2010,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,07/10/2010
91,CT,Devon,544,15,2011,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,07/10/2010
92,CT,Devon,544,15,2012,GenConn Devon LLC,"Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Diesel Oil,07/10/2010
93,CT,Devon,544,15,2013,GenConn Devon LLC,"Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Diesel Oil,07/10/2010
94,CT,Devon,544,15,2014,GenConn Devon LLC,"Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Diesel Oil,07/10/2010
95,CT,Devon,544,15,2015,GenConn Devon LLC,"Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Diesel Oil,07/10/2010
96,CT,Devon,544,16,2010,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,06/25/2010
97,CT,Devon,544,16,2011,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,06/25/2010
98,CT,Devon,544,16,2012,GenConn Devon LLC,"Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Diesel Oil,06/25/2010
99,CT,Devon,544,16,2013,GenConn Devon LLC,"Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Diesel Oil,06/25/2010
100,CT,Devon,544,16,2014,GenConn Devon LLC,"Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Diesel Oil,06/25/2010
101,CT,Devon,544,16,2015,GenConn Devon LLC,"Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Diesel Oil,06/25/2010
102,CT,Devon,544,17,2010,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,06/10/2010
103,CT,Devon,544,17,2011,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,06/10/2010
104,CT,Devon,544,17,2012,GenConn Devon LLC,"Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Diesel Oil,06/10/2010
105,CT,Devon,544,17,2013,GenConn Devon LLC,"Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Diesel Oil,06/10/2010
106,CT,Devon,544,17,2014,GenConn Devon LLC,"Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Diesel Oil,06/10/2010
107,CT,Devon,544,17,2015,GenConn Devon LLC,"Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Diesel Oil,06/10/2010
108,CT,Devon,544,18,2010,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,06/01/2010
109,CT,Devon,544,18,2011,GenConn Devon LLC,"Ross, Leslie E (1680)",CT009,41.2083,-73.1092,Diesel Oil,06/01/2010
110,CT,Devon,544,18,2012,GenConn Devon LLC,"Ross, Leslie E (1680) (Ended Nov 25, 2012)<br>Araujo, Jeff  (605836) (Started Nov 25, 2012)",CT009,41.2083,-73.1092,Diesel Oil,06/01/2010
111,CT,Devon,544,18,2013,GenConn Devon LLC,"Araujo, Jeff  (605836)",CT009,41.2083,-73.1092,Diesel Oil,06/01/2010
112,CT,Devon,544,18,2014,GenConn Devon LLC,"Araujo, Jeff  (605836) (Ended Dec 04, 2014)<br>Guzzetta, Don  (607656) (Started Dec 04, 2014)",CT009,41.2083,-73.1092,Diesel Oil,06/01/2010
113,CT,Devon,544,18,2015,GenConn Devon LLC,"Guzzetta, Don  (607656)",CT009,41.2083,-73.1092,Diesel Oil,06/01/2010
114,CT,Kleen Energy Systems Project,56798,U1,2011,"Kleen Energy Systems, LLC","Holk, Gordon A (1058)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/03/2011
115,CT,Kleen Energy Systems Project,56798,U1,2012,"Kleen Energy Systems, LLC","Holk, Gordon A (1058)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/03/2011
116,CT,Kleen Energy Systems Project,56798,U1,2013,"Kleen Energy Systems, LLC","Holk, Gordon A (1058) (Ended Mar 04, 2013)<br>Freddo, William J (607026) (Started Feb 26, 2013)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/03/2011
117,CT,Kleen Energy Systems Project,56798,U1,2014,"Kleen Energy Systems, LLC","Freddo, William J (607026)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/03/2011
118,CT,Kleen Energy Systems Project,56798,U1,2015,"Kleen Energy Systems, LLC","Freddo, William J (607026)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/03/2011
119,CT,Kleen Energy Systems Project,56798,U2,2011,"Kleen Energy Systems, LLC","Holk, Gordon A (1058)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/07/2011
120,CT,Kleen Energy Systems Project,56798,U2,2012,"Kleen Energy Systems, LLC","Holk, Gordon A (1058)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/07/2011
121,CT,Kleen Energy Systems Project,56798,U2,2013,"Kleen Energy Systems, LLC","Holk, Gordon A (1058) (Ended Mar 04, 2013)<br>Freddo, William J (607026) (Started Feb 26, 2013)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/07/2011
122,CT,Kleen Energy Systems Project,56798,U2,2014,"Kleen Energy Systems, LLC","Freddo, William J (607026)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/07/2011
123,CT,Kleen Energy Systems Project,56798,U2,2015,"Kleen Energy Systems, LLC","Freddo, William J (607026)",CT007,41.5551,-72.5797,Pipeline Natural Gas,05/07/2011
124,CT,Lake Road Generating Company,55149,LRG1,2009,"Lake Road Generating Company, LP","Haley, Robert B (603503) (Ended Apr 01, 2009)<br>Neil, John S (604756) (Started Apr 01, 2009)",CT015,41.8736,-71.8947,Pipeline Natural Gas,08/01/2001
125,CT,Lake Road Generating Company,55149,LRG1,2010,"Lake Road Generating Company, LP","Neil, John S (604756) (Ended Jun 21, 2010)<br>Curtis, Christopher J (602681) (Started Jun 21, 2010)",CT015,41.8736,-71.8947,Pipeline Natural Gas,08/01/2001
126,CT,Lake Road Generating Company,55149,LRG1,2011,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,08/01/2001
127,CT,Lake Road Generating Company,55149,LRG1,2012,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,08/01/2001
128,CT,Lake Road Generating Company,55149,LRG1,2013,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,08/01/2001
129,CT,Lake Road Generating Company,55149,LRG1,2014,"Lake Road Generating Company, LP","Curtis, Christopher J (602681) (Ended Feb 25, 2014)<br>Paradis, Anthony C (607366) (Started Feb 25, 2014)",CT015,41.8736,-71.8947,Pipeline Natural Gas,08/01/2001
130,CT,Lake Road Generating Company,55149,LRG1,2015,"Lake Road Generating Company, LP","Paradis, Anthony C (607366)",CT015,41.8736,-71.8947,Pipeline Natural Gas,08/01/2001
131,CT,Lake Road Generating Company,55149,LRG2,2009,"Lake Road Generating Company, LP","Haley, Robert B (603503) (Ended Apr 01, 2009)<br>Neil, John S (604756) (Started Apr 01, 2009)",CT015,41.8736,-71.8947,Pipeline Natural Gas,11/08/2001
132,CT,Lake Road Generating Company,55149,LRG2,2010,"Lake Road Generating Company, LP","Neil, John S (604756) (Ended Jun 21, 2010)<br>Curtis, Christopher J (602681) (Started Jun 21, 2010)",CT015,41.8736,-71.8947,Pipeline Natural Gas,11/08/2001
133,CT,Lake Road Generating Company,55149,LRG2,2011,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,11/08/2001
134,CT,Lake Road Generating Company,55149,LRG2,2012,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,11/08/2001
135,CT,Lake Road Generating Company,55149,LRG2,2013,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,11/08/2001
136,CT,Lake Road Generating Company,55149,LRG2,2014,"Lake Road Generating Company, LP","Curtis, Christopher J (602681) (Ended Feb 25, 2014)<br>Paradis, Anthony C (607366) (Started Feb 25, 2014)",CT015,41.8736,-71.8947,Pipeline Natural Gas,11/08/2001
137,CT,Lake Road Generating Company,55149,LRG2,2015,"Lake Road Generating Company, LP","Paradis, Anthony C (607366)",CT015,41.8736,-71.8947,Pipeline Natural Gas,11/08/2001
138,CT,Lake Road Generating Company,55149,LRG3,2009,"Lake Road Generating Company, LP","Haley, Robert B (603503) (Ended Apr 01, 2009)<br>Neil, John S (604756) (Started Apr 01, 2009)",CT015,41.8736,-71.8947,Pipeline Natural Gas,12/01/2001
139,CT,Lake Road Generating Company,55149,LRG3,2010,"Lake Road Generating Company, LP","Neil, John S (604756) (Ended Jun 21, 2010)<br>Curtis, Christopher J (602681) (Started Jun 21, 2010)",CT015,41.8736,-71.8947,Pipeline Natural Gas,12/01/2001
140,CT,Lake Road Generating Company,55149,LRG3,2011,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,12/01/2001
141,CT,Lake Road Generating Company,55149,LRG3,2012,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,12/01/2001
142,CT,Lake Road Generating Company,55149,LRG3,2013,"Lake Road Generating Company, LP","Curtis, Christopher J (602681)",CT015,41.8736,-71.8947,Pipeline Natural Gas,12/01/2001
143,CT,Lake Road Generating Company,55149,LRG3,2014,"Lake Road Generating Company, LP","Curtis, Christopher J (602681) (Ended Feb 25, 2014)<br>Paradis, Anthony C (607366) (Started Feb 25, 2014)",CT015,41.8736,-71.8947,Pipeline Natural Gas,12/01/2001
